timestamp,type,value,rr_interval_sec
2026-03-03 10:53:06.163,SpO2,65842935968640997641870595498,
2026-03-03 10:53:06.193,SpO2,69246155756688810,
2026-03-03 10:53:06.223,SpO2,325843287320346378589610,
2026-03-03 10:53:06.253,SpO2,85113117931400323413267882,
2026-03-03 10:53:06.374,SpO2,188940985384734182213637546,
2026-03-03 10:53:06.433,SpO2,194897824256706665566393770,
2026-03-03 10:53:06.554,SpO2,117498163669680753111684522,
2026-03-03 10:53:06.643,SpO2,9837374735466900977833386,
2026-03-03 10:53:06.764,SpO2,7400540961975237319021994,
2026-03-03 10:53:06.831,heartbeat,84,0.7333984375
2026-03-03 10:53:06.852,SpO2,27938057166383528631293354,
2026-03-03 10:53:06.943,SpO2,195964523436114548760729002,
2026-03-03 10:53:07.093,SpO2,284315425609567775801431466,
2026-03-03 10:53:07.153,SpO2,190246978038330260064261546,
2026-03-03 10:53:07.184,SpO2,65842935968640997641870595498,
2026-03-03 10:53:07.185,SpO2,69246155756688810,
2026-03-03 10:53:07.243,SpO2,325843287320346378589610,
2026-03-03 10:53:07.244,SpO2,165952431052483600791328170,
2026-03-03 10:53:07.333,SpO2,284353594094678607139919274,
2026-03-03 10:53:07.484,SpO2,153761197228155853419271594,
2026-03-03 10:53:07.544,SpO2,77541961519451047619155370,
2026-03-03 10:53:07.664,SpO2,280617776122543461299606954,
2026-03-03 10:53:07.754,SpO2,14644595516822902866400682,
2026-03-03 10:53:07.821,heartbeat,84,0.8203125
2026-03-03 10:53:07.844,SpO2,33963722722470801469035946,
2026-03-03 10:53:07.933,SpO2,102896087608589284388328874,
2026-03-03 10:53:08.054,SpO2,57231840060583159603877290,
2026-03-03 10:53:08.174,SpO2,143580201392859809370297770,
2026-03-03 10:53:08.177,SpO2,65842935968640997641870595498,
2026-03-03 10:53:08.203,SpO2,69246155756688810,
2026-03-03 10:53:08.233,SpO2,325843287320346378589610,
2026-03-03 10:53:08.262,SpO2,269813316652041358638273962,
2026-03-03 10:53:08.353,SpO2,180352805782401399108097450,
2026-03-03 10:53:08.473,SpO2,287880850139459767663285674,
2026-03-03 10:53:08.533,SpO2,139154491685363400334857642,
2026-03-03 10:53:08.653,SpO2,284220830706522942197421482,
2026-03-03 10:53:08.774,SpO2,194741375032138752469194154,
2026-03-03 10:53:08.840,heartbeat,82,0.86328125
2026-03-03 10:53:08.840,heartbeat,82,0.900390625
2026-03-03 10:53:08.864,SpO2,179044191659949755277989290,
2026-03-03 10:53:08.953,SpO2,30621249300019813590980010,
2026-03-03 10:53:09.044,SpO2,243887858366868258756187562,
2026-03-03 10:53:09.193,SpO2,289146610883949974185268650,
2026-03-03 10:53:09.195,SpO2,42631560232038991587605173674,
2026-03-03 10:53:09.223,SpO2,69246155756688810,
2026-03-03 10:53:09.253,SpO2,325843287320346378589610,
2026-03-03 10:53:09.283,SpO2,264968131384009742598755754,
2026-03-03 10:53:09.373,SpO2,36419520182626476192912810,
2026-03-03 10:53:09.463,SpO2,73877219792655195034310058,
2026-03-03 10:53:09.553,SpO2,59370109956995970937869738,
2026-03-03 10:53:09.643,SpO2,204422263360190009628906922,
2026-03-03 10:53:09.764,SpO2,43734465139490026389722538,
2026-03-03 10:53:09.832,heartbeat,80,0.9248046875
2026-03-03 10:53:09.854,SpO2,272373394493456119717909930,
2026-03-03 10:53:09.943,SpO2,241868827034607070172586,
2026-03-03 10:53:10.064,SpO2,263759149935370665701889450,
2026-03-03 10:53:10.154,SpO2,174275009149406723355661738,
2026-03-03 10:53:10.183,SpO2,77293881332028231909897098666,
2026-03-03 10:53:10.213,SpO2,69246155756688810,
2026-03-03 10:53:10.243,SpO2,325843287320346378589610,
2026-03-03 10:53:10.274,SpO2,214117374417568643981202858,
2026-03-03 10:53:10.363,SpO2,153661601520455276431365546,
2026-03-03 10:53:10.454,SpO2,98041513528245343373710762,
2026-03-03 10:53:10.603,SpO2,305976717463793076951537066,
2026-03-03 10:53:10.663,SpO2,271126318708106272021894570,
2026-03-03 10:53:10.753,SpO2,181632919396747310552536490,
2026-03-03 10:53:10.874,SpO2,52178223808147272904955306,
2026-03-03 10:53:10.963,SpO2,58241779119398401214469546,
2026-03-03 10:53:11.053,SpO2,17090948172235619727005098,
2026-03-03 10:53:11.204,SpO2,19470835543797686527284650,
2026-03-03 10:53:11.206,SpO2,37989285084716845231896483242,
2026-03-03 10:53:11.233,SpO2,69246155756688810,
2026-03-03 10:53:11.234,SpO2,325843287320346378589610,
2026-03-03 10:53:11.256,heartbeat,79,0.89453125
2026-03-03 10:53:11.263,SpO2,268514276677704075147433386,
2026-03-03 10:53:11.384,SpO2,268500072685332467769365930,
2026-03-03 10:53:11.473,SpO2,200946952693675379489985962,
2026-03-03 10:53:11.563,SpO2,208252973046242524972144042,
2026-03-03 10:53:11.653,SpO2,20746171198384702158230954,
2026-03-03 10:53:11.773,SpO2,53410798134800011146253738,
2026-03-03 10:53:11.864,SpO2,3821190950227978878932394,
2026-03-03 10:53:11.984,SpO2,250399371590367586827589034,
2026-03-03 10:53:12.104,SpO2,212922634071239180925490602,
2026-03-03 10:53:12.163,SpO2,212922634071239180925490602,
2026-03-03 10:53:12.223,SpO2,57486840721907765685313820074,
2026-03-03 10:53:12.224,SpO2,69246155756688810,
2026-03-03 10:53:12.246,heartbeat,78,0.8720703125
2026-03-03 10:53:12.254,SpO2,325843287320346378589610,
2026-03-03 10:53:12.254,SpO2,280793040081955505786803626,
2026-03-03 10:53:12.373,SpO2,93957352089229728597104042,
2026-03-03 10:53:12.524,SpO2,63058500554661628755269034,
2026-03-03 10:53:12.584,SpO2,261355539471072664696608170,
2026-03-03 10:53:12.673,SpO2,194812525354381263156237738,
2026-03-03 10:53:12.763,SpO2,179077470599303661165172138,
2026-03-03 10:53:12.884,SpO2,199629209460128514608944554,
